model_name,feature_group,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,brier_score,brier_score_std,ece,ece_std,train_time_s,inference_ms_per_1k,dataset,n_features
Stacking,G7,0.9550793967178262,0.016807812507819365,0.9528266161063526,0.019175032231113564,0.9591419816138916,0.015474848046086058,0.955942108738719,0.01651645125179339,0.9904200942081942,0.00708624875220444,0.03709980042043142,0.013467606140676443,0.06306976347223724,0.007869475177869354,1.2321667600190267,0.06747165040227691,A,21
OC_SVM,G7,0.6532190552122783,0.045094692856481065,0.7337263358783251,0.06679546010638462,0.5012257405515832,0.04818988224490247,0.5947838724628804,0.05188942866202728,0.6655679599915602,0.03440582797133484,0.22207596429984883,0.009606277875071392,0.13766808822668922,0.04147889062139895,0.001493579987436533,0.006249611984884426,A,21
RF,G8,0.8790246495249485,0.015077203685139982,0.8827133612671461,0.024631956245523945,0.8798008171603676,0.029345886837262115,0.880694028954695,0.015530512463931407,0.9493624877558691,0.011309334333105627,0.08888565933351841,0.0100684736782446,0.061947946611151716,0.008911176281731624,0.12311553999315947,0.04308031625007023,A,5
SVM,G8,0.7857883197129759,0.03113441897370116,0.7945624971234727,0.028857969072377605,0.7801327885597549,0.045281703610000376,0.7868279817381847,0.03308780447030909,0.8736069026156678,0.02965417619647084,0.1487440442795502,0.01568091064512823,0.1049793271130209,0.007944434037815223,0.059789480012841525,0.10481950282016188,A,5
MLP,G8,0.755810245166434,0.028879789627981618,0.7565001582954707,0.036566688337733855,0.7687691521961184,0.025867993408368036,0.7620915471276158,0.02526857471377125,0.8317323244355823,0.019559231191183222,0.17541487993643795,0.008873799353725561,0.10389033945962509,0.05076699404199104,0.08265023997519165,0.0017775564348251744,A,5
KNN,G8,0.827160985980998,0.016566088547987714,0.8147977596896878,0.034335073294508335,0.8571756894790603,0.020817081428196927,0.8346562819034341,0.012466161338035096,0.9021188599439111,0.021072518083850945,0.12369782738688459,0.014281341604268792,0.05207228755564417,0.008669489803498744,0.0009326600003987551,0.011607214679170415,A,5
Stacking,G8,0.8767125107966247,0.010215781776155914,0.8755600801161967,0.025994687290027935,0.8843718079673135,0.021925910574009038,0.8793886005621289,0.009327698132726102,0.9464073606614415,0.01075657713110803,0.09138565298332675,0.008628427401054696,0.07540360159130122,0.008220132012118084,1.0773877599975095,0.05787672723203097,A,5
OC_SVM,G8,0.5794830908245299,0.03878929372735922,0.6875944943659963,0.07970645538116662,0.31534729315628196,0.043632900681472936,0.4319898119948899,0.055236305740907904,0.5282929183859686,0.05287779895131061,0.27835895881878026,0.015712095615582372,0.19936444693874827,0.027928094611313643,0.0012353599769994617,0.0044326257060810555,A,5
RF,G1,0.9726415660841891,0.0060192706779001815,0.9660027564284253,0.014189154699074419,0.9836103513570377,0.010410627770689606,0.9745962806833003,0.005453325996895397,0.9936183094671577,0.0026095382009911935,0.02264605477624133,0.003554386547016995,0.027236926421268303,0.00890790045719235,0.10304445999208837,0.03927901292784939,B,26
SVM,G1,0.9726355611601514,0.011502707471333175,0.9661188118811881,0.020442070522103784,0.9835893120134651,0.010439628150166465,0.974617695324673,0.0105396116763139,0.9929628576436569,0.004422988680729635,0.022685198213125778,0.007304233716314281,0.030640733282668364,0.010147254564045827,0.04224544002208859,0.0531688258673481,B,26
MLP,G1,0.9628055005104186,0.007228053006242984,0.9750800590609477,0.013909778242517568,0.9548706080370293,0.012151564260134966,0.9647430759135591,0.00682512408406568,0.9904717648267651,0.008069495626547187,0.07032576994345235,0.017324665304119455,0.17570840895630016,0.03237085160319582,0.06838065998163075,0.001490075200304433,B,26
